Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
test case,KM-110,10139,verify that the logo of the site in the navbar and footer navigate the user to the home page,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:59,11/22/2024 23:46,
test case,KM-109,10138,"verify that user can navigate the links of  (best selling ,viewing and top rated products,customer support and contacts ) at the footer ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:56,11/22/2024 23:44,
test case,KM-108,10137,verify that user can install the app of the site in his mobile phone ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:54,11/22/2024 23:43,
test case,KM-107,10136, verify that user can sign up in the newsletter of the site to get updates on his mail ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:53,11/22/2024 23:40,
test case,KM-106,10135,verify that user can access the social media pages of the zamzam site to follow them,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:52,11/22/2024 23:38,
test case,KM-105,10134,"verify that user is able to navigate through essential links (e.g., Contact Us, About Us, Privacy Policy, refund and return policies) in the footer",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:49,11/22/2024 23:26,
test case,KM-104,10133,verify that user can change the sites language,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:45,11/22/2024 23:17,
test case,KM-103,10132,verify that user can give notes on  his order ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:30,11/22/2024 23:15,
test case,KM-102,10131,verify that user can go back to continue shopping within the shipping and billing page and payment page ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:19,11/22/2024 23:13,
test case,KM-101,10130,verify that user cannot use invalid or expired coupon in the payment ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:17,11/22/2024 23:08,
test case,KM-100,10129,"verify that user can go to the shipping and billing page, payment page or cart by their icons on the page ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:16,11/22/2024 23:04,
test case,KM-99,10128,verify that user can use a payment online method ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:15,11/22/2024 22:54,
test case,KM-98,10127,"verify that user can use a payment method ""cash on delivery"" ",,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:13,11/22/2024 22:53,
test case,KM-97,10126,verify that user cannot reach to the check out without choosing shipping method ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:12,11/22/2024 22:49,
test case,KM-96,10125,verify that the user can localize his location on the google map ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:09,11/22/2024 22:43,
test case,KM-95,10124,verify that user can save more than one address in the shipping and billing address ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 2:01,11/22/2024 22:41,
test case,KM-94,10123,verify that the user can update his  saved address in his check out,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:57,11/22/2024 22:44,
test case,KM-93,10122,verify that the user can save his address so he doesn't have to fill it in his next check out ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:53,11/22/2024 22:45,
test case,KM-92,10121,verify that the user can use the same address  for shipping and billing ,,,khlood mousad,712020:2bd295a9-e33e-4440-9b9c-6528caf2e1a6,Medium,To Do,,11/17/2024 1:50,11/22/2024 22:45,
